zcta10,puma10,pumaname,nameshort,per_in_puma,per_of_puma
10451,03710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose","Hunts Point, Longwood & Melrose",0.482,0.141
10452,03708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden","Concourse, Highbridge & Mount Eden",0.952,0.515
10453,03707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope","Morris Heights, Fordham South & Mount Hope",0.984,0.574
10454,03710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose","Hunts Point, Longwood & Melrose",1,0.239
10455,03710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose","Hunts Point, Longwood & Melrose",1,0.254
10456,03705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont","Belmont, Crotona Park East & East Tremont",0.491,0.264
10457,03707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope","Morris Heights, Fordham South & Mount Hope",0.483,0.254
10458,03706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood","Bedford Park, Fordham North & Norwood",0.596,0.372
10459,03710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose","Hunts Point, Longwood & Melrose",0.631,0.191
10460,03705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont","Belmont, Crotona Park East & East Tremont",0.75,0.266
10461,03703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville","Co-op City, Pelham Bay & Schuylerville",0.483,0.212
10462,03709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester","Castle Hill, Clason Point & Parkchester",0.548,0.229
10463,03701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge","Riverdale, Fieldston & Kingsbridge",0.838,0.527
10464,03703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville","Co-op City, Pelham Bay & Schuylerville",0.971,0.038
10465,03703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville","Co-op City, Pelham Bay & Schuylerville",0.995,0.365
10466,03702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn","Wakefield, Williamsbridge & Woodlawn",1,0.49
10467,03706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood","Bedford Park, Fordham North & Norwood",0.412,0.314
10468,03706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood","Bedford Park, Fordham North & Norwood",0.476,0.284
10469,03704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia","Pelham Parkway, Morris Park & Laconia",0.483,0.26
10470,03702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn","Wakefield, Williamsbridge & Woodlawn",1,0.111
10471,03701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge","Riverdale, Fieldston & Kingsbridge",1,0.212
10472,03709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester","Castle Hill, Clason Point & Parkchester",1,0.366
10473,03709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester","Castle Hill, Clason Point & Parkchester",1,0.323
10474,03710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose","Hunts Point, Longwood & Melrose",1,0.079
10475,03703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville","Co-op City, Pelham Bay & Schuylerville",0.982,0.349
11201,04004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene,Brooklyn Heights & Fort Greene,0.894,0.386
11203,04010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby","East Flatbush, Farragut & Rugby",0.795,0.446
11204,04017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach,Bensonhurst & Bath Beach,0.635,0.273
11205,04004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene,Brooklyn Heights & Fort Greene,0.7,0.238
11206,04003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant,Bedford-Stuyvesant,0.464,0.282
11207,04008,NYC-Brooklyn Community District 5--East New York & Starrett City,East New York & Starrett City,0.491,0.297
11208,04008,NYC-Brooklyn Community District 5--East New York & Starrett City,East New York & Starrett City,1,0.611
11209,04013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights,Bay Ridge & Dyker Heights,1,0.565
11210,04015,NYC-Brooklyn Community District 14--Flatbush & Midwood,Flatbush & Midwood,0.481,0.188
11211,04001,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg,Greenpoint & Williamsburg,1,0.611
11212,04007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill,Brownsville & Ocean Hill,0.693,0.49
11213,04006,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights,Crown Heights North & Prospect Heights,0.771,0.4
11214,04017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach,Bensonhurst & Bath Beach,0.904,0.441
11215,04005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook","Park Slope, Carroll Gardens & Red Hook",0.843,0.505
11216,04003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant,Bedford-Stuyvesant,0.509,0.206
11217,04004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene,Brooklyn Heights & Fort Greene,0.557,0.168
11218,04014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway","Borough Park, Kensington & Ocean Parkway",0.676,0.311
11219,04014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway","Borough Park, Kensington & Ocean Parkway",0.689,0.389
11220,04012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace,Sunset Park & Windsor Terrace,0.865,0.585
11221,04003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant,Bedford-Stuyvesant,0.51,0.3
11222,04001,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg,Greenpoint & Williamsburg,1,0.25
11223,04017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach,Bensonhurst & Bath Beach,0.391,0.17
11224,04018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island,Brighton Beach & Coney Island,1,0.415
11225,04011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate","Crown Heights South, Prospect Lefferts & Wingate",1,0.53
11226,04015,NYC-Brooklyn Community District 14--Flatbush & Midwood,Flatbush & Midwood,0.521,0.334
11228,04013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights,Bay Ridge & Dyker Heights,0.604,0.207
11229,04016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest","Sheepshead Bay, Gerritsen Beach & Homecrest",0.981,0.531
11230,04015,NYC-Brooklyn Community District 14--Flatbush & Midwood,Flatbush & Midwood,0.756,0.412
11231,04005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook","Park Slope, Carroll Gardens & Red Hook",0.98,0.308
11232,04012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace,Sunset Park & Windsor Terrace,0.965,0.185
11233,04007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill,Brownsville & Ocean Hill,0.466,0.262
11234,04009,NYC-Brooklyn Community District 18--Canarsie & Flatlands,Canarsie & Flatlands,1,0.453
11235,04016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest","Sheepshead Bay, Gerritsen Beach & Homecrest",0.513,0.275
11236,04009,NYC-Brooklyn Community District 18--Canarsie & Flatlands,Canarsie & Flatlands,0.884,0.428
11237,04002,NYC-Brooklyn Community District 4--Bushwick,Bushwick,1,0.386
11238,04006,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights,Crown Heights North & Prospect Heights,0.539,0.216
11239,04008,NYC-Brooklyn Community District 5--East New York & Starrett City,East New York & Starrett City,1,0.087
11425,04013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights,Bay Ridge & Dyker Heights,,0
10001,03807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",1,0.146
10002,03809,NYC-Manhattan Community District 3--Chinatown & Lower East Side,Chinatown & Lower East Side,1,0.494
10003,03809,NYC-Manhattan Community District 3--Chinatown & Lower East Side,Chinatown & Lower East Side,0.467,0.159
10004,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",1,0.021
10005,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",1,0.048
10006,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",1,0.02
10007,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",0.878,0.041
10009,03809,NYC-Manhattan Community District 3--Chinatown & Lower East Side,Chinatown & Lower East Side,0.73,0.272
10010,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",0.809,0.17
10011,03807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",0.77,0.271
10012,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",1,0.161
10013,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",0.812,0.151
10014,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",0.99,0.212
10016,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",0.905,0.325
10017,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",0.996,0.109
10018,03807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",1,0.036
10019,03807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",0.909,0.269
10020,03807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",,0
10021,03805,NYC-Manhattan Community District 8--Upper East Side,Upper East Side,1,0.198
10022,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",0.936,0.198
10023,03806,NYC-Manhattan Community District 7--Upper West Side & West Side,Upper West Side & West Side,1,0.315
10024,03806,NYC-Manhattan Community District 7--Upper West Side & West Side,Upper West Side & West Side,1,0.306
10025,03806,NYC-Manhattan Community District 7--Upper West Side & West Side,Upper West Side & West Side,0.682,0.333
10026,03803,NYC-Manhattan Community District 10--Central Harlem,Central Harlem,0.981,0.281
10027,03802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem","Hamilton Heights, Manhattanville & West Harlem",0.603,0.283
10028,03805,NYC-Manhattan Community District 8--Upper East Side,Upper East Side,1,0.205
10029,03804,NYC-Manhattan Community District 11--East Harlem,East Harlem,1,0.646
10030,03803,NYC-Manhattan Community District 10--Central Harlem,Central Harlem,0.92,0.209
10031,03802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem","Hamilton Heights, Manhattanville & West Harlem",1,0.443
10032,03801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill","Washington Heights, Inwood & Marble Hill",0.964,0.279
10033,03801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill","Washington Heights, Inwood & Marble Hill",1,0.272
10034,03801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill","Washington Heights, Inwood & Marble Hill",1,0.196
10035,03804,NYC-Manhattan Community District 11--East Harlem,East Harlem,0.941,0.272
